State,Clinton,Trump,Johnson,Stein
Alabama,718084,1306925,43869,9287
Alaska,93007,130415,14593,4445
Arizona,888374,972900,75082,23697
Arkansas,378632,681765,29593,9406
California,5488261,2969532,308392,152539
Colorado,1126384,1075770,129128,29299
Connecticut,823360,637919,45999,21539
Delaware,235581,185103,14751,5865
D.C.,260223,11553,4501,3995
Florida,4487657,4607146,206007,64060
Georgia,1856509,2078064,123641,
Hawaii,266827,128815,14854,12727
Idaho,190971,412525,28256,8524
Illinois,2982415,2121573,204491,74026
Indiana,1024180,1544609,133856,1829
Iowa,650780,798923,57322,11406
Kansas,414572,656470,53648,22717
Kentucky,628834,1202942,53749,13913
Louisiana,779535,1178004,37950,14018
Maine,352156,332418,37764,13995
Maryland,1502820,878615,71107,32019
Massachusetts,1967667,1084400,136784,46931
Michigan,2264807,2277914,173023,51420
Minnesota,1364067,1321120,112944,36921
Mississippi,462127,678284,13789,3590
Missouri,1054889,1585753,96404,25086
Montana,174281,273879,27264,7662
Nebraska,273181,485326,37615,8335
Nevada,537753,511319,37299,0
New Hampshire,348497,345810,30530,6377
New Jersey,1967444,1509688,68695,35305
New Mexico,380923,316134,73699,9740
New York,4145376,2638135,161236,100033
North Carolina,2162822,2339830,127794,590
North Dakota,93526,216133,21351,3769
Ohio,2320596,2776683,168599,44278
Oklahoma,419788,947934,83334,0
Oregon,949319,751438,86306,46510
Pennsylvania,2817409,2890633,142653,48588
Rhode Island,227062,166454,14643,5763
South Carolina,850629,1147045,48715,12945
South Dakota,117442,227701,20845,0
Tennessee,868853,1519926,70084,15952
Texas,3867816,4681590,282524,71307
Utah,222858,375006,29921,5484
Vermont,178082,95114,10043,6727
Virginia,1916148,1729932,116600,27248
Washington,1210824,831631,131779,30540
West Virginia,187519,486304,22798,8016
Wisconsin,1383926,1411432,106442,30942
Wyoming,55964,174383,13285,2482
